tick,timestamp,interval_end,day,time_period,tariff_band,tariff,weather_pattern,inflow,p1_out_of_action,p2_out_of_action,expected_inflow,feasible,starting_volume,ending_volume,p1_status,p1_rate,p2_status,p2_rate,pumped_volume,energy_cost,warnings
40,2026-06-01T19:30:00+00:00,2026-06-01T20:00:00+00:00,1,T40,T33-T40,302.47,dry,1.74,false,false,1.8742,true,177.18,178.92,Online,0.00,Offline,0.00,0.00,0.00,
41,2026-06-01T20:00:00+00:00,2026-06-01T20:30:00+00:00,1,T41,T41-T48,277.06,dry,2.02,false,false,2.1248,true,178.92,180.94,Online,0.00,Offline,0.00,0.00,0.00,
42,2026-06-01T20:30:00+00:00,2026-06-01T21:00:00+00:00,1,T42,T41-T48,277.06,dry,1.84,false,false,1.8757,true,180.94,182.78,Online,0.00,Offline,0.00,0.00,0.00,
43,2026-06-01T21:00:00+00:00,2026-06-01T21:30:00+00:00,1,T43,T41-T48,277.06,dry,1.86,false,false,1.9751,true,182.78,184.64,Online,0.00,Offline,0.00,0.00,0.00,
44,2026-06-01T21:30:00+00:00,2026-06-01T22:00:00+00:00,1,T44,T41-T48,277.06,dry,0.52,false,false,0.5230,true,184.64,185.16,Online,0.00,Offline,0.00,0.00,0.00,
45,2026-06-01T22:00:00+00:00,2026-06-01T22:30:00+00:00,1,T45,T41-T48,277.06,dry,0.28,false,false,0.2896,true,185.16,185.44,Online,0.00,Offline,0.00,0.00,0.00,
46,2026-06-01T22:30:00+00:00,2026-06-01T23:00:00+00:00,1,T46,T41-T48,277.06,dry,0.58,false,false,0.6144,true,185.44,186.02,Online,0.00,Offline,0.00,0.00,0.00,
47,2026-06-01T23:00:00+00:00,2026-06-01T23:30:00+00:00,1,T47,T41-T48,277.06,dry,0.26,false,false,0.2811,true,186.02,186.28,Online,0.00,Offline,0.00,0.00,0.00,
48,2026-06-01T23:30:00+00:00,2026-06-02T00:00:00+00:00,1,T48,T41-T48,277.06,dry,0.27,false,false,0.2966,true,186.28,186.55,Online,0.00,Offline,0.00,0.00,0.00,
49,2026-06-02T00:00:00+00:00,2026-06-02T00:30:00+00:00,2,T1,T1-T8,228.42,dry,0.35,false,false,0.3657,true,186.55,186.90,Online,0.00,Offline,0.00,0.00,0.00,
50,2026-06-02T00:30:00+00:00,2026-06-02T01:00:00+00:00,2,T2,T1-T8,228.42,dry,0.45,true,false,0.4744,true,186.90,187.35,Offline,0.00,Online,0.00,0.00,0.00,
51,2026-06-02T01:00:00+00:00,2026-06-02T01:30:00+00:00,2,T3,T1-T8,228.42,dry,0.20,true,false,0.2169,true,187.35,187.55,Offline,0.00,Online,0.00,0.00,0.00,
52,2026-06-02T01:30:00+00:00,2026-06-02T02:00:00+00:00,2,T4,T1-T8,228.42,dry,0.17,true,false,0.1782,true,187.55,187.72,Offline,0.00,Online,0.00,0.00,0.00,
53,2026-06-02T02:00:00+00:00,2026-06-02T02:30:00+00:00,2,T5,T1-T8,228.42,dry,0.44,true,false,0.4456,true,187.72,188.16,Offline,0.00,Online,0.00,0.00,0.00,
54,2026-06-02T02:30:00+00:00,2026-06-02T03:00:00+00:00,2,T6,T1-T8,228.42,dry,0.28,true,false,0.2924,true,188.16,188.44,Offline,0.00,Online,0.00,0.00,0.00,
55,2026-06-02T03:00:00+00:00,2026-06-02T03:30:00+00:00,2,T7,T1-T8,228.42,dry,0.33,true,false,0.3595,true,188.44,188.77,Offline,0.00,Online,0.00,0.00,0.00,
56,2026-06-02T03:30:00+00:00,2026-06-02T04:00:00+00:00,2,T8,T1-T8,228.42,dry,0.19,true,false,0.1960,true,188.77,188.96,Offline,0.00,Online,0.00,0.00,0.00,
57,2026-06-02T04:00:00+00:00,2026-06-02T04:30:00+00:00,2,T9,T9-T16,257.37,dry,0.27,true,false,0.2922,true,188.96,189.23,Offline,0.00,Online,0.00,0.00,0.00,
58,2026-06-02T04:30:00+00:00,2026-06-02T05:00:00+00:00,2,T10,T9-T16,257.37,dry,0.42,true,false,0.4580,true,189.23,189.65,Offline,0.00,Online,0.00,0.00,0.00,
59,2026-06-02T05:00:00+00:00,2026-06-02T05:30:00+00:00,2,T11,T9-T16,257.37,dry,0.23,false,false,0.2518,true,189.65,189.88,Offline,0.00,Online,0.00,0.00,0.00,
60,2026-06-02T05:30:00+00:00,2026-06-02T06:00:00+00:00,2,T12,T9-T16,257.37,dry,1.59,false,false,1.6093,true,189.88,191.47,Offline,0.00,Online,0.00,0.00,0.00,
61,2026-06-02T06:00:00+00:00,2026-06-02T06:30:00+00:00,2,T13,T9-T16,257.37,dry,1.68,false,false,1.6916,true,191.47,193.15,Offline,0.00,Online,0.00,0.00,0.00,
62,2026-06-02T06:30:00+00:00,2026-06-02T07:00:00+00:00,2,T14,T9-T16,257.37,dry,1.66,false,false,1.7746,true,193.15,194.81,Offline,0.00,Online,0.00,0.00,0.00,
63,2026-06-02T07:00:00+00:00,2026-06-02T07:30:00+00:00,2,T15,T9-T16,257.37,dry,1.84,false,false,2.0012,true,194.81,196.65,Offline,0.00,Online,0.00,0.00,0.00,
64,2026-06-02T07:30:00+00:00,2026-06-02T08:00:00+00:00,2,T16,T9-T16,257.37,dry,1.78,false,false,1.8071,true,196.65,198.43,Offline,0.00,Online,0.00,0.00,0.00,
65,2026-06-02T08:00:00+00:00,2026-06-02T08:30:00+00:00,2,T17,T17-T24,282.66,dry,1.53,false,false,1.6755,true,198.43,199.96,Offline,0.00,Online,0.00,0.00,0.00,
66,2026-06-02T08:30:00+00:00,2026-06-02T09:00:00+00:00,2,T18,T17-T24,282.66,dry,1.83,false,false,2.0050,true,199.96,201.79,Offline,0.00,Online,0.00,0.00,0.00,
67,2026-06-02T09:00:00+00:00,2026-06-02T09:30:00+00:00,2,T19,T17-T24,282.66,dry,1.79,false,false,1.8882,true,201.79,203.58,Offline,0.00,Online,0.00,0.00,0.00,
68,2026-06-02T09:30:00+00:00,2026-06-02T10:00:00+00:00,2,T20,T17-T24,282.66,dry,1.76,false,false,1.8609,true,203.58,205.34,Offline,0.00,Online,0.00,0.00,0.00,
69,2026-06-02T10:00:00+00:00,2026-06-02T10:30:00+00:00,2,T21,T17-T24,282.66,dry,1.59,false,false,1.6958,true,205.34,206.93,Offline,0.00,Online,0.00,0.00,0.00,
70,2026-06-02T10:30:00+00:00,2026-06-02T11:00:00+00:00,2,T22,T17-T24,282.66,dry,0.72,false,false,0.7624,true,206.93,207.65,Offline,0.00,Online,0.00,0.00,0.00,
71,2026-06-02T11:00:00+00:00,2026-06-02T11:30:00+00:00,2,T23,T17-T24,282.66,dry,0.66,false,false,0.6995,true,207.65,208.31,Offline,0.00,Online,0.00,0.00,0.00,
72,2026-06-02T11:30:00+00:00,2026-06-02T12:00:00+00:00,2,T24,T17-T24,282.66,dry,0.72,false,false,0.7352,true,208.31,209.03,Offline,0.00,Online,0.00,0.00,0.00,
73,2026-06-02T12:00:00+00:00,2026-06-02T12:30:00+00:00,2,T25,T25-T32,283.90,dry,0.86,false,false,0.9278,true,209.03,209.89,Offline,0.00,Online,0.00,0.00,0.00,
74,2026-06-02T12:30:00+00:00,2026-06-02T13:00:00+00:00,2,T26,T25-T32,283.90,dry,0.65,false,false,0.6807,true,209.89,210.54,Offline,0.00,Online,0.00,0.00,0.00,
75,2026-06-02T13:00:00+00:00,2026-06-02T13:30:00+00:00,2,T27,T25-T32,283.90,dry,0.80,false,false,0.8681,true,210.54,211.34,Offline,0.00,Online,0.00,0.00,0.00,
76,2026-06-02T13:30:00+00:00,2026-06-02T14:00:00+00:00,2,T28,T25-T32,283.90,dry,0.73,false,false,0.7580,true,211.34,212.07,Offline,0.00,Online,0.00,0.00,0.00,
77,2026-06-02T14:00:00+00:00,2026-06-02T14:30:00+00:00,2,T29,T25-T32,283.90,dry,0.79,false,false,0.8135,true,212.07,212.86,Offline,0.00,Online,0.00,0.00,0.00,
78,2026-06-02T14:30:00+00:00,2026-06-02T15:00:00+00:00,2,T30,T25-T32,283.90,dry,0.93,false,false,0.9962,true,212.86,213.79,Offline,0.00,Online,0.00,0.00,0.00,
79,2026-06-02T15:00:00+00:00,2026-06-02T15:30:00+00:00,2,T31,T25-T32,283.90,dry,0.65,false,false,0.6542,true,213.79,214.44,Offline,0.00,Online,0.00,0.00,0.00,
80,2026-06-02T15:30:00+00:00,2026-06-02T16:00:00+00:00,2,T32,T25-T32,283.90,dry,0.97,false,false,1.0177,true,214.44,215.41,Offline,0.00,Online,0.00,0.00,0.00,
81,2026-06-02T16:00:00+00:00,2026-06-02T16:30:00+00:00,2,T33,T33-T40,302.47,dry,1.94,false,false,1.9668,true,215.41,217.35,Offline,0.00,Online,0.00,0.00,0.00,
82,2026-06-02T16:30:00+00:00,2026-06-02T17:00:00+00:00,2,T34,T33-T40,302.47,dry,1.88,false,false,1.9923,true,217.35,219.23,Offline,0.00,Online,0.00,0.00,0.00,
83,2026-06-02T17:00:00+00:00,2026-06-02T17:30:00+00:00,2,T35,T33-T40,302.47,dry,2.03,false,false,2.1888,true,219.23,221.26,Offline,0.00,Online,0.00,0.00,0.00,
84,2026-06-02T17:30:00+00:00,2026-06-02T18:00:00+00:00,2,T36,T33-T40,302.47,dry,1.74,true,false,1.8071,true,221.26,223.00,Offline,0.00,Online,0.00,0.00,0.00,
85,2026-06-02T18:00:00+00:00,2026-06-02T18:30:00+00:00,2,T37,T33-T40,302.47,dry,1.90,true,false,1.9116,true,223.00,224.90,Offline,0.00,Online,0.00,0.00,0.00,
86,2026-06-02T18:30:00+00:00,2026-06-02T19:00:00+00:00,2,T38,T33-T40,302.47,dry,1.69,true,false,1.7001,true,224.90,226.59,Offline,0.00,Online,0.00,0.00,0.00,
87,2026-06-02T19:00:00+00:00,2026-06-02T19:30:00+00:00,2,T39,T33-T40,302.47,dry,2.03,true,false,2.0751,true,226.59,228.62,Offline,0.00,Online,0.00,0.00,0.00,
88,2026-06-02T19:30:00+00:00,2026-06-02T20:00:00+00:00,2,T40,T33-T40,302.47,dry,2.04,true,false,2.2233,true,228.62,230.66,Offline,0.00,Online,0.00,0.00,0.00,
89,2026-06-02T20:00:00+00:00,2026-06-02T20:30:00+00:00,2,T41,T41-T48,277.06,dry,1.96,true,false,2.0598,true,230.66,232.62,Offline,0.00,Online,0.00,0.00,0.00,
90,2026-06-02T20:30:00+00:00,2026-06-02T21:00:00+00:00,2,T42,T41-T48,277.06,dry,1.77,true,false,1.8841,true,232.62,230.39,Offline,0.00,Online,4.00,4.00,1108.24,
91,2026-06-02T21:00:00+00:00,2026-06-02T21:30:00+00:00,2,T43,T41-T48,277.06,dry,1.95,true,false,2.0375,true,230.39,232.34,Offline,0.00,Online,0.00,0.00,0.00,
92,2026-06-02T21:30:00+00:00,2026-06-02T22:00:00+00:00,2,T44,T41-T48,277.06,dry,0.51,true,false,0.5585,true,232.34,232.85,Offline,0.00,Online,0.00,0.00,0.00,
93,2026-06-02T22:00:00+00:00,2026-06-02T22:30:00+00:00,2,T45,T41-T48,277.06,dry,0.48,false,false,0.4833,true,232.85,233.33,Offline,0.00,Online,0.00,0.00,0.00,
94,2026-06-02T22:30:00+00:00,2026-06-02T23:00:00+00:00,2,T46,T41-T48,277.06,dry,0.42,false,false,0.4338,true,233.33,229.75,Offline,0.00,Online,4.00,4.00,1108.24,
95,2026-06-02T23:00:00+00:00,2026-06-02T23:30:00+00:00,2,T47,T41-T48,277.06,dry,0.41,false,false,0.4356,true,229.75,230.16,Offline,0.00,Online,0.00,0.00,0.00,
96,2026-06-02T23:30:00+00:00,2026-06-03T00:00:00+00:00,2,T48,T41-T48,277.06,dry,0.52,false,false,0.5628,true,230.16,230.68,Offline,0.00,Online,0.00,0.00,0.00,
97,2026-06-03T00:00:00+00:00,2026-06-03T00:30:00+00:00,3,T1,T1-T8,228.42,wet,2.47,false,false,2.5816,true,230.68,233.15,Offline,0.00,Online,0.00,0.00,0.00,
98,2026-06-03T00:30:00+00:00,2026-06-03T01:00:00+00:00,3,T2,T1-T8,228.42,wet,2.16,false,false,2.2529,true,233.15,231.31,Offline,0.00,Online,4.00,4.00,913.68,
99,2026-06-03T01:00:00+00:00,2026-06-03T01:30:00+00:00,3,T3,T1-T8,228.42,wet,2.59,false,false,2.7188,true,231.31,233.90,Offline,0.00,Online,0.00,0.00,0.00,
100,2026-06-03T01:30:00+00:00,2026-06-03T02:00:00+00:00,3,T4,T1-T8,228.42,wet,2.37,false,false,2.3831,true,233.90,232.27,Offline,0.00,Online,4.00,4.00,913.68,
101,2026-06-03T02:00:00+00:00,2026-06-03T02:30:00+00:00,3,T5,T1-T8,228.42,wet,2.10,false,false,2.1769,true,232.27,234.37,Offline,0.00,Online,0.00,0.00,0.00,
102,2026-06-03T02:30:00+00:00,2026-06-03T03:00:00+00:00,3,T6,T1-T8,228.42,wet,2.44,false,true,2.6536,true,234.37,232.81,Online,4.00,Offline,0.00,4.00,913.68,
103,2026-06-03T03:00:00+00:00,2026-06-03T03:30:00+00:00,3,T7,T1-T8,228.42,wet,2.13,false,true,2.1606,true,232.81,230.94,Online,4.00,Offline,0.00,4.00,913.68,
104,2026-06-03T03:30:00+00:00,2026-06-03T04:00:00+00:00,3,T8,T1-T8,228.42,wet,2.38,false,true,2.5056,true,230.94,229.32,Online,4.00,Offline,0.00,4.00,913.68,
105,2026-06-03T04:00:00+00:00,2026-06-03T04:30:00+00:00,3,T9,T9-T16,257.37,wet,2.08,false,true,2.1077,true,229.32,231.40,Online,0.00,Offline,0.00,0.00,0.00,
106,2026-06-03T04:30:00+00:00,2026-06-03T05:00:00+00:00,3,T10,T9-T16,257.37,wet,2.51,false,true,2.5643,true,231.40,233.91,Online,0.00,Offline,0.00,0.00,0.00,
107,2026-06-03T05:00:00+00:00,2026-06-03T05:30:00+00:00,3,T11,T9-T16,257.37,wet,2.00,false,true,2.0557,true,233.91,231.91,Online,4.00,Offline,0.00,4.00,1029.48,
108,2026-06-03T05:30:00+00:00,2026-06-03T06:00:00+00:00,3,T12,T9-T16,257.37,wet,5.41,false,true,5.6850,true,231.91,233.32,Online,4.00,Offline,0.00,4.00,1029.48,
109,2026-06-03T06:00:00+00:00,2026-06-03T06:30:00+00:00,3,T13,T9-T16,257.37,wet,5.06,false,true,5.2769,true,233.32,230.38,Online,8.00,Offline,0.00,8.00,2058.96,
110,2026-06-03T06:30:00+00:00,2026-06-03T07:00:00+00:00,3,T14,T9-T16,257.37,wet,5.42,false,true,5.6205,true,230.38,231.80,Online,4.00,Offline,0.00,4.00,1029.48,
111,2026-06-03T07:00:00+00:00,2026-06-03T07:30:00+00:00,3,T15,T9-T16,257.37,wet,5.56,false,true,5.6352,true,231.80,229.36,Online,8.00,Offline,0.00,8.00,2058.96,
112,2026-06-03T07:30:00+00:00,2026-06-03T08:00:00+00:00,3,T16,T9-T16,257.37,wet,5.05,false,false,5.1851,true,229.36,230.41,Online,4.00,Offline,0.00,4.00,1029.48,
113,2026-06-03T08:00:00+00:00,2026-06-03T08:30:00+00:00,3,T17,T17-T24,282.66,wet,5.49,false,false,5.7497,true,230.41,231.90,Online,4.00,Offline,0.00,4.00,1130.64,
114,2026-06-03T08:30:00+00:00,2026-06-03T09:00:00+00:00,3,T18,T17-T24,282.66,wet,5.56,false,false,6.0618,true,231.90,229.46,Online,8.00,Offline,0.00,8.00,2261.28,
115,2026-06-03T09:00:00+00:00,2026-06-03T09:30:00+00:00,3,T19,T17-T24,282.66,wet,5.46,false,false,5.6976,true,229.46,230.92,Online,4.00,Offline,0.00,4.00,1130.64,
116,2026-06-03T09:30:00+00:00,2026-06-03T10:00:00+00:00,3,T20,T17-T24,282.66,wet,5.54,false,false,5.7215,true,230.92,228.46,Online,8.00,Offline,0.00,8.00,2261.28,
117,2026-06-03T10:00:00+00:00,2026-06-03T10:30:00+00:00,3,T21,T17-T24,282.66,wet,5.40,false,false,5.8777,true,228.46,229.86,Online,4.00,Offline,0.00,4.00,1130.64,
118,2026-06-03T10:30:00+00:00,2026-06-03T11:00:00+00:00,3,T22,T17-T24,282.66,wet,3.15,false,true,3.3453,true,229.86,229.01,Online,4.00,Offline,0.00,4.00,1130.64,
119,2026-06-03T11:00:00+00:00,2026-06-03T11:30:00+00:00,3,T23,T17-T24,282.66,wet,3.42,false,true,3.5766,true,229.01,228.43,Online,4.00,Offline,0.00,4.00,1130.64,
120,2026-06-03T11:30:00+00:00,2026-06-03T12:00:00+00:00,3,T24,T17-T24,282.66,wet,3.14,false,true,3.2974,true,228.43,223.57,Online,8.00,Offline,0.00,8.00,2261.28,
121,2026-06-03T12:00:00+00:00,2026-06-03T12:30:00+00:00,3,T25,T25-T32,283.90,wet,3.32,false,true,3.3778,true,223.57,226.89,Online,0.00,Offline,0.00,0.00,0.00,
122,2026-06-03T12:30:00+00:00,2026-06-03T13:00:00+00:00,3,T26,T25-T32,283.90,wet,3.39,false,true,3.6388,true,226.89,230.28,Online,0.00,Offline,0.00,0.00,0.00,
123,2026-06-03T13:00:00+00:00,2026-06-03T13:30:00+00:00,3,T27,T25-T32,283.90,wet,3.65,false,true,3.7511,true,230.28,233.93,Online,0.00,Offline,0.00,0.00,0.00,
124,2026-06-03T13:30:00+00:00,2026-06-03T14:00:00+00:00,3,T28,T25-T32,283.90,wet,3.45,false,true,3.4818,true,233.93,233.38,Online,4.00,Offline,0.00,4.00,1135.60,
125,2026-06-03T14:00:00+00:00,2026-06-03T14:30:00+00:00,3,T29,T25-T32,283.90,wet,3.46,false,true,3.4771,true,233.38,232.84,Online,4.00,Offline,0.00,4.00,1135.60,
126,2026-06-03T14:30:00+00:00,2026-06-03T15:00:00+00:00,3,T30,T25-T32,283.90,wet,3.50,false,true,3.7303,true,232.84,232.34,Online,4.00,Offline,0.00,4.00,1135.60,
127,2026-06-03T15:00:00+00:00,2026-06-03T15:30:00+00:00,3,T31,T25-T32,283.90,wet,3.51,false,false,3.8072,true,232.34,231.85,Online,4.00,Offline,0.00,4.00,1135.60,
128,2026-06-03T15:30:00+00:00,2026-06-03T16:00:00+00:00,3,T32,T25-T32,283.90,wet,3.43,false,false,3.7605,true,231.85,227.28,Online,8.00,Offline,0.00,8.00,2271.20,
129,2026-06-03T16:00:00+00:00,2026-06-03T16:30:00+00:00,3,T33,T33-T40,302.47,wet,5.93,false,false,6.3117,true,227.28,233.21,Online,0.00,Offline,0.00,0.00,0.00,
130,2026-06-03T16:30:00+00:00,2026-06-03T17:00:00+00:00,3,T34,T33-T40,302.47,wet,5.62,false,false,5.8947,true,233.21,230.83,Online,8.00,Offline,0.00,8.00,2419.76,
131,2026-06-03T17:00:00+00:00,2026-06-03T17:30:00+00:00,3,T35,T33-T40,302.47,wet,5.64,false,false,6.1593,true,230.83,228.47,Online,8.00,Offline,0.00,8.00,2419.76,
132,2026-06-03T17:30:00+00:00,2026-06-03T18:00:00+00:00,3,T36,T33-T40,302.47,wet,5.96,false,false,6.0219,true,228.47,230.43,Online,4.00,Offline,0.00,4.00,1209.88,
133,2026-06-03T18:00:00+00:00,2026-06-03T18:30:00+00:00,3,T37,T33-T40,302.47,wet,6.01,false,false,6.1710,true,230.43,228.44,Online,8.00,Offline,0.00,8.00,2419.76,
134,2026-06-03T18:30:00+00:00,2026-06-03T19:00:00+00:00,3,T38,T33-T40,302.47,wet,5.75,false,false,6.0238,true,228.44,230.19,Online,0.00,Online,4.00,4.00,1209.88,
135,2026-06-03T19:00:00+00:00,2026-06-03T19:30:00+00:00,3,T39,T33-T40,302.47,wet,5.78,false,false,6.1690,true,230.19,227.97,Online,0.00,Online,8.00,8.00,2419.76,
