tick,timestamp,weather_pattern,tariff,actual_inflow,expected_inflow,actual_cost,forecast_optimizer_cost,cost_delta_optimizer_minus_actual,actual_ending_volume,forecast_optimizer_ending_volume,actual_pumped,forecast_optimizer_pumped,actual_warnings,forecast_optimizer_warnings
19,2026-06-01T09:00:00+00:00,dry,282.66,1.81,1.8218,0.00,0.00,0.00,48.31,152.31,0.00,0.00,,
20,2026-06-01T09:30:00+00:00,dry,282.66,1.77,1.8385,1130.64,0.00,-1130.64,46.08,154.08,4.00,0.00,,
21,2026-06-01T10:00:00+00:00,dry,282.66,1.84,1.9454,0.00,0.00,0.00,47.92,155.92,0.00,0.00,,
22,2026-06-01T10:30:00+00:00,dry,282.66,0.98,1.0772,0.00,0.00,0.00,48.90,156.90,0.00,0.00,,
23,2026-06-01T11:00:00+00:00,dry,282.66,0.85,0.9322,1130.64,0.00,-1130.64,45.75,157.75,4.00,0.00,,
24,2026-06-01T11:30:00+00:00,dry,282.66,0.65,0.6693,0.00,0.00,0.00,46.40,158.40,0.00,0.00,,
25,2026-06-01T12:00:00+00:00,dry,283.90,0.87,0.9464,0.00,0.00,0.00,47.27,159.27,0.00,0.00,,
26,2026-06-01T12:30:00+00:00,dry,283.90,0.69,0.7026,0.00,0.00,0.00,47.96,159.96,0.00,0.00,,
27,2026-06-01T13:00:00+00:00,dry,283.90,0.80,0.8492,0.00,0.00,0.00,48.76,160.76,0.00,0.00,,
28,2026-06-01T13:30:00+00:00,dry,283.90,0.93,0.9924,0.00,0.00,0.00,49.69,161.69,0.00,0.00,,
29,2026-06-01T14:00:00+00:00,dry,283.90,0.70,0.7539,1135.60,0.00,-1135.60,46.39,162.39,4.00,0.00,,
30,2026-06-01T14:30:00+00:00,dry,283.90,0.70,0.7517,0.00,0.00,0.00,47.09,163.09,0.00,0.00,,
31,2026-06-01T15:00:00+00:00,dry,283.90,0.67,0.6930,0.00,0.00,0.00,47.76,163.76,0.00,0.00,,
32,2026-06-01T15:30:00+00:00,dry,283.90,0.79,0.8523,0.00,0.00,0.00,48.55,164.55,0.00,0.00,,
33,2026-06-01T16:00:00+00:00,dry,302.47,1.70,1.7289,1209.88,0.00,-1209.88,46.25,166.25,4.00,0.00,,
34,2026-06-01T16:30:00+00:00,dry,302.47,1.82,1.8268,0.00,0.00,0.00,48.07,168.07,0.00,0.00,,
35,2026-06-01T17:00:00+00:00,dry,302.47,2.01,2.1329,1209.88,0.00,-1209.88,46.08,170.08,4.00,0.00,,
36,2026-06-01T17:30:00+00:00,dry,302.47,1.72,1.7232,0.00,0.00,0.00,47.80,171.80,0.00,0.00,,
37,2026-06-01T18:00:00+00:00,dry,302.47,1.68,1.7871,1209.88,0.00,-1209.88,45.48,173.48,4.00,0.00,,
38,2026-06-01T18:30:00+00:00,dry,302.47,1.82,1.9694,0.00,0.00,0.00,47.30,175.30,0.00,0.00,,
39,2026-06-01T19:00:00+00:00,dry,302.47,1.88,2.0046,0.00,0.00,0.00,49.18,177.18,0.00,0.00,,
40,2026-06-01T19:30:00+00:00,dry,302.47,1.74,1.8742,1209.88,0.00,-1209.88,46.92,178.92,4.00,0.00,,
41,2026-06-01T20:00:00+00:00,dry,277.06,2.02,2.1248,0.00,0.00,0.00,48.94,180.94,0.00,0.00,,
42,2026-06-01T20:30:00+00:00,dry,277.06,1.84,1.8757,1108.24,0.00,-1108.24,46.78,182.78,4.00,0.00,,
43,2026-06-01T21:00:00+00:00,dry,277.06,1.86,1.9751,0.00,0.00,0.00,48.64,184.64,0.00,0.00,,
44,2026-06-01T21:30:00+00:00,dry,277.06,0.52,0.5230,1108.24,0.00,-1108.24,45.16,185.16,4.00,0.00,,
45,2026-06-01T22:00:00+00:00,dry,277.06,0.28,0.2896,0.00,0.00,0.00,45.44,185.44,0.00,0.00,,
46,2026-06-01T22:30:00+00:00,dry,277.06,0.58,0.6144,0.00,0.00,0.00,46.02,186.02,0.00,0.00,,
47,2026-06-01T23:00:00+00:00,dry,277.06,0.26,0.2811,0.00,0.00,0.00,46.28,186.28,0.00,0.00,,
48,2026-06-01T23:30:00+00:00,dry,277.06,0.27,0.2966,0.00,0.00,0.00,46.55,186.55,0.00,0.00,,
49,2026-06-02T00:00:00+00:00,dry,228.42,0.35,0.3657,0.00,0.00,0.00,46.90,186.90,0.00,0.00,,
50,2026-06-02T00:30:00+00:00,dry,228.42,0.45,0.4744,0.00,0.00,0.00,47.35,187.35,0.00,0.00,,
51,2026-06-02T01:00:00+00:00,dry,228.42,0.20,0.2169,0.00,0.00,0.00,47.55,187.55,0.00,0.00,,
52,2026-06-02T01:30:00+00:00,dry,228.42,0.17,0.1782,0.00,0.00,0.00,47.72,187.72,0.00,0.00,,
53,2026-06-02T02:00:00+00:00,dry,228.42,0.44,0.4456,0.00,0.00,0.00,48.16,188.16,0.00,0.00,,
54,2026-06-02T02:30:00+00:00,dry,228.42,0.28,0.2924,0.00,0.00,0.00,48.44,188.44,0.00,0.00,,
55,2026-06-02T03:00:00+00:00,dry,228.42,0.33,0.3595,0.00,0.00,0.00,48.77,188.77,0.00,0.00,,
56,2026-06-02T03:30:00+00:00,dry,228.42,0.19,0.1960,0.00,0.00,0.00,48.96,188.96,0.00,0.00,,
57,2026-06-02T04:00:00+00:00,dry,257.37,0.27,0.2922,1029.48,0.00,-1029.48,45.23,189.23,4.00,0.00,,
58,2026-06-02T04:30:00+00:00,dry,257.37,0.42,0.4580,0.00,0.00,0.00,45.65,189.65,0.00,0.00,,
59,2026-06-02T05:00:00+00:00,dry,257.37,0.23,0.2518,0.00,0.00,0.00,45.88,189.88,0.00,0.00,,
60,2026-06-02T05:30:00+00:00,dry,257.37,1.59,1.6093,0.00,0.00,0.00,47.47,191.47,0.00,0.00,,
61,2026-06-02T06:00:00+00:00,dry,257.37,1.68,1.6916,1029.48,0.00,-1029.48,45.15,193.15,4.00,0.00,,
62,2026-06-02T06:30:00+00:00,dry,257.37,1.66,1.7746,0.00,0.00,0.00,46.81,194.81,0.00,0.00,,
63,2026-06-02T07:00:00+00:00,dry,257.37,1.84,2.0012,0.00,0.00,0.00,48.65,196.65,0.00,0.00,,
64,2026-06-02T07:30:00+00:00,dry,257.37,1.78,1.8071,0.00,0.00,0.00,50.43,198.43,0.00,0.00,,
65,2026-06-02T08:00:00+00:00,dry,282.66,1.53,1.6755,1130.64,0.00,-1130.64,47.96,199.96,4.00,0.00,,
66,2026-06-02T08:30:00+00:00,dry,282.66,1.83,2.0050,1130.64,0.00,-1130.64,45.79,201.79,4.00,0.00,,
67,2026-06-02T09:00:00+00:00,dry,282.66,1.79,1.8882,0.00,0.00,0.00,47.58,203.58,0.00,0.00,,
68,2026-06-02T09:30:00+00:00,dry,282.66,1.76,1.8609,0.00,0.00,0.00,49.34,205.34,0.00,0.00,,
69,2026-06-02T10:00:00+00:00,dry,282.66,1.59,1.6958,0.00,0.00,0.00,50.93,206.93,0.00,0.00,,
70,2026-06-02T10:30:00+00:00,dry,282.66,0.72,0.7624,0.00,0.00,0.00,51.65,207.65,0.00,0.00,,
71,2026-06-02T11:00:00+00:00,dry,282.66,0.66,0.6995,1130.64,0.00,-1130.64,48.31,208.31,4.00,0.00,,
72,2026-06-02T11:30:00+00:00,dry,282.66,0.72,0.7352,1130.64,0.00,-1130.64,45.03,209.03,4.00,0.00,,
73,2026-06-02T12:00:00+00:00,dry,283.90,0.86,0.9278,0.00,0.00,0.00,45.89,209.89,0.00,0.00,,
74,2026-06-02T12:30:00+00:00,dry,283.90,0.65,0.6807,0.00,0.00,0.00,46.54,210.54,0.00,0.00,,
75,2026-06-02T13:00:00+00:00,dry,283.90,0.80,0.8681,0.00,0.00,0.00,47.34,211.34,0.00,0.00,,
76,2026-06-02T13:30:00+00:00,dry,283.90,0.73,0.7580,0.00,0.00,0.00,48.07,212.07,0.00,0.00,,
77,2026-06-02T14:00:00+00:00,dry,283.90,0.79,0.8135,0.00,0.00,0.00,48.86,212.86,0.00,0.00,,
78,2026-06-02T14:30:00+00:00,dry,283.90,0.93,0.9962,1135.60,0.00,-1135.60,45.79,213.79,4.00,0.00,,
79,2026-06-02T15:00:00+00:00,dry,283.90,0.65,0.6542,0.00,0.00,0.00,46.44,214.44,0.00,0.00,,
80,2026-06-02T15:30:00+00:00,dry,283.90,0.97,1.0177,0.00,0.00,0.00,47.41,215.41,0.00,0.00,,
81,2026-06-02T16:00:00+00:00,dry,302.47,1.94,1.9668,1209.88,0.00,-1209.88,45.35,217.35,4.00,0.00,,
82,2026-06-02T16:30:00+00:00,dry,302.47,1.88,1.9923,0.00,0.00,0.00,47.23,219.23,0.00,0.00,,
83,2026-06-02T17:00:00+00:00,dry,302.47,2.03,2.1888,0.00,0.00,0.00,49.26,221.26,0.00,0.00,,
84,2026-06-02T17:30:00+00:00,dry,302.47,1.74,1.8071,0.00,0.00,0.00,51.00,223.00,0.00,0.00,,
85,2026-06-02T18:00:00+00:00,dry,302.47,1.90,1.9116,1209.88,0.00,-1209.88,48.90,224.90,4.00,0.00,,
86,2026-06-02T18:30:00+00:00,dry,302.47,1.69,1.7001,1209.88,0.00,-1209.88,46.59,226.59,4.00,0.00,,
87,2026-06-02T19:00:00+00:00,dry,302.47,2.03,2.0751,0.00,0.00,0.00,48.62,228.62,0.00,0.00,,
88,2026-06-02T19:30:00+00:00,dry,302.47,2.04,2.2233,0.00,0.00,0.00,50.66,230.66,0.00,0.00,,
89,2026-06-02T20:00:00+00:00,dry,277.06,1.96,2.0598,1108.24,0.00,-1108.24,48.62,232.62,4.00,0.00,,
90,2026-06-02T20:30:00+00:00,dry,277.06,1.77,1.8841,1108.24,1108.24,0.00,46.39,230.39,4.00,4.00,,
91,2026-06-02T21:00:00+00:00,dry,277.06,1.95,2.0375,0.00,0.00,0.00,48.34,232.34,0.00,0.00,,
92,2026-06-02T21:30:00+00:00,dry,277.06,0.51,0.5585,0.00,0.00,0.00,48.85,232.85,0.00,0.00,,
93,2026-06-02T22:00:00+00:00,dry,277.06,0.48,0.4833,1108.24,0.00,-1108.24,45.33,233.33,4.00,0.00,,
94,2026-06-02T22:30:00+00:00,dry,277.06,0.42,0.4338,0.00,1108.24,1108.24,45.75,229.75,0.00,4.00,,
95,2026-06-02T23:00:00+00:00,dry,277.06,0.41,0.4356,0.00,0.00,0.00,46.16,230.16,0.00,0.00,,
96,2026-06-02T23:30:00+00:00,dry,277.06,0.52,0.5628,0.00,0.00,0.00,46.68,230.68,0.00,0.00,,
97,2026-06-03T00:00:00+00:00,wet,228.42,2.47,2.5816,913.68,0.00,-913.68,45.15,233.15,4.00,0.00,,
98,2026-06-03T00:30:00+00:00,wet,228.42,2.16,2.2529,0.00,913.68,913.68,47.31,231.31,0.00,4.00,,
99,2026-06-03T01:00:00+00:00,wet,228.42,2.59,2.7188,0.00,0.00,0.00,49.90,233.90,0.00,0.00,,
100,2026-06-03T01:30:00+00:00,wet,228.42,2.37,2.3831,913.68,913.68,0.00,48.27,232.27,4.00,4.00,,
101,2026-06-03T02:00:00+00:00,wet,228.42,2.10,2.1769,0.00,0.00,0.00,50.37,234.37,0.00,0.00,,
102,2026-06-03T02:30:00+00:00,wet,228.42,2.44,2.6536,0.00,913.68,913.68,52.81,232.81,0.00,4.00,,
103,2026-06-03T03:00:00+00:00,wet,228.42,2.13,2.1606,913.68,913.68,0.00,50.94,230.94,4.00,4.00,,
104,2026-06-03T03:30:00+00:00,wet,228.42,2.38,2.5056,1827.36,913.68,-913.68,45.32,229.32,8.00,4.00,,
105,2026-06-03T04:00:00+00:00,wet,257.37,2.08,2.1077,0.00,0.00,0.00,47.40,231.40,0.00,0.00,,
106,2026-06-03T04:30:00+00:00,wet,257.37,2.51,2.5643,0.00,0.00,0.00,49.91,233.91,0.00,0.00,,
107,2026-06-03T05:00:00+00:00,wet,257.37,2.00,2.0557,0.00,1029.48,1029.48,51.91,231.91,0.00,4.00,,
108,2026-06-03T05:30:00+00:00,wet,257.37,5.41,5.6850,2058.96,1029.48,-1029.48,49.32,233.32,8.00,4.00,,
109,2026-06-03T06:00:00+00:00,wet,257.37,5.06,5.2769,0.00,2058.96,2058.96,54.38,230.38,0.00,8.00,,
110,2026-06-03T06:30:00+00:00,wet,257.37,5.42,5.6205,2058.96,1029.48,-1029.48,51.80,231.80,8.00,4.00,,
111,2026-06-03T07:00:00+00:00,wet,257.37,5.56,5.6352,3088.44,2058.96,-1029.48,45.36,229.36,12.00,8.00,,
112,2026-06-03T07:30:00+00:00,wet,257.37,5.05,5.1851,0.00,1029.48,1029.48,50.41,230.41,0.00,4.00,,
113,2026-06-03T08:00:00+00:00,wet,282.66,5.49,5.7497,2261.28,1130.64,-1130.64,47.90,231.90,8.00,4.00,,
114,2026-06-03T08:30:00+00:00,wet,282.66,5.56,6.0618,2261.28,2261.28,0.00,45.46,229.46,8.00,8.00,,
115,2026-06-03T09:00:00+00:00,wet,282.66,5.46,5.6976,1130.64,1130.64,0.00,46.92,230.92,4.00,4.00,,
116,2026-06-03T09:30:00+00:00,wet,282.66,5.54,5.7215,0.00,2261.28,2261.28,52.46,228.46,0.00,8.00,,
117,2026-06-03T10:00:00+00:00,wet,282.66,5.40,5.8777,2261.28,1130.64,-1130.64,49.86,229.86,8.00,4.00,,
118,2026-06-03T10:30:00+00:00,wet,282.66,3.15,3.3453,1130.64,1130.64,0.00,49.01,229.01,4.00,4.00,,
119,2026-06-03T11:00:00+00:00,wet,282.66,3.42,3.5766,0.00,1130.64,1130.64,52.43,228.43,0.00,4.00,,
120,2026-06-03T11:30:00+00:00,wet,282.66,3.14,3.2974,1130.64,2261.28,1130.64,51.57,223.57,4.00,8.00,,
121,2026-06-03T12:00:00+00:00,wet,283.90,3.32,3.3778,0.00,0.00,0.00,54.89,226.89,0.00,0.00,,
122,2026-06-03T12:30:00+00:00,wet,283.90,3.39,3.6388,0.00,0.00,0.00,58.28,230.28,0.00,0.00,,
123,2026-06-03T13:00:00+00:00,wet,283.90,3.65,3.7511,4542.40,0.00,-4542.40,45.93,233.93,16.00,0.00,,
124,2026-06-03T13:30:00+00:00,wet,283.90,3.45,3.4818,1135.60,1135.60,0.00,45.38,233.38,4.00,4.00,,
125,2026-06-03T14:00:00+00:00,wet,283.90,3.46,3.4771,0.00,1135.60,1135.60,48.84,232.84,0.00,4.00,,
126,2026-06-03T14:30:00+00:00,wet,283.90,3.50,3.7303,0.00,1135.60,1135.60,52.34,232.34,0.00,4.00,,
127,2026-06-03T15:00:00+00:00,wet,283.90,3.51,3.8072,1135.60,1135.60,0.00,51.85,231.85,4.00,4.00,,
128,2026-06-03T15:30:00+00:00,wet,283.90,3.43,3.7605,0.00,2271.20,2271.20,55.28,227.28,0.00,8.00,,
129,2026-06-03T16:00:00+00:00,wet,302.47,5.93,6.3117,4839.52,0.00,-4839.52,45.21,233.21,16.00,0.00,,
130,2026-06-03T16:30:00+00:00,wet,302.47,5.62,5.8947,1209.88,2419.76,1209.88,46.83,230.83,4.00,8.00,,
131,2026-06-03T17:00:00+00:00,wet,302.47,5.64,6.1593,1209.88,2419.76,1209.88,48.47,228.47,4.00,8.00,,
132,2026-06-03T17:30:00+00:00,wet,302.47,5.96,6.0219,2419.76,1209.88,-1209.88,46.43,230.43,8.00,4.00,,
133,2026-06-03T18:00:00+00:00,wet,302.47,6.01,6.1710,1209.88,2419.76,1209.88,48.44,228.44,4.00,8.00,,
134,2026-06-03T18:30:00+00:00,wet,302.47,5.75,6.0238,0.00,1209.88,1209.88,54.19,230.19,0.00,4.00,,
135,2026-06-03T19:00:00+00:00,wet,302.47,5.78,6.1690,3629.64,2419.76,-1209.88,47.97,227.97,12.00,8.00,,
136,2026-06-03T19:30:00+00:00,wet,302.47,5.93,5.9554,2419.76,1209.88,-1209.88,45.90,229.90,8.00,4.00,,
137,2026-06-03T20:00:00+00:00,wet,277.06,5.78,6.1359,1108.24,2216.48,1108.24,47.68,227.68,4.00,8.00,,
138,2026-06-03T20:30:00+00:00,wet,277.06,5.88,5.9549,1108.24,1108.24,0.00,49.56,229.56,4.00,4.00,,
139,2026-06-03T21:00:00+00:00,wet,277.06,5.70,6.0164,2216.48,2216.48,0.00,47.26,227.26,8.00,8.00,,
140,2026-06-03T21:30:00+00:00,wet,277.06,2.72,2.7389,0.00,0.00,0.00,49.98,229.98,0.00,0.00,,
141,2026-06-03T22:00:00+00:00,wet,277.06,2.77,2.9386,0.00,2216.48,2216.48,52.75,224.75,0.00,8.00,,
142,2026-06-03T22:30:00+00:00,wet,277.06,2.33,2.4237,1108.24,0.00,-1108.24,51.08,227.08,4.00,0.00,,
143,2026-06-03T23:00:00+00:00,wet,277.06,2.40,2.6367,2216.48,0.00,-2216.48,45.48,229.48,8.00,0.00,,
144,2026-06-03T23:30:00+00:00,wet,277.06,2.21,2.3741,0.00,1108.24,1108.24,47.69,227.69,0.00,4.00,,
145,2026-06-04T00:00:00+00:00,wet,228.42,2.23,2.2437,0.00,0.00,0.00,49.92,229.92,0.00,0.00,,
146,2026-06-04T00:30:00+00:00,wet,228.42,2.51,2.6874,913.68,0.00,-913.68,48.43,232.43,4.00,0.00,,
147,2026-06-04T01:00:00+00:00,wet,228.42,2.34,2.5335,0.00,913.68,913.68,50.77,230.77,0.00,4.00,,
148,2026-06-04T01:30:00+00:00,wet,228.42,2.38,2.4859,913.68,0.00,-913.68,49.15,233.15,4.00,0.00,,
149,2026-06-04T02:00:00+00:00,wet,228.42,2.25,2.3625,0.00,913.68,913.68,51.40,231.40,0.00,4.00,,
150,2026-06-04T02:30:00+00:00,wet,228.42,2.11,2.1342,0.00,0.00,0.00,53.51,233.51,0.00,0.00,,
151,2026-06-04T03:00:00+00:00,wet,228.42,2.16,2.2598,0.00,913.68,913.68,55.67,231.67,0.00,4.00,,
152,2026-06-04T03:30:00+00:00,wet,228.42,2.37,2.3924,0.00,913.68,913.68,58.04,230.04,0.00,4.00,,
153,2026-06-04T04:00:00+00:00,wet,257.37,2.19,2.3894,3088.44,0.00,-3088.44,48.23,232.23,12.00,0.00,,
154,2026-06-04T04:30:00+00:00,wet,257.37,2.19,2.3600,1029.48,1029.48,0.00,46.42,230.42,4.00,4.00,,
155,2026-06-04T05:00:00+00:00,wet,257.37,2.16,2.2168,0.00,0.00,0.00,48.58,232.58,0.00,0.00,,
156,2026-06-04T05:30:00+00:00,wet,257.37,5.07,5.2009,1029.48,1029.48,0.00,49.65,233.65,4.00,4.00,,
157,2026-06-04T06:00:00+00:00,wet,257.37,5.15,5.3610,0.00,2058.96,2058.96,54.80,230.80,0.00,8.00,,
158,2026-06-04T06:30:00+00:00,wet,257.37,5.09,5.1868,1029.48,2058.96,1029.48,55.89,227.89,4.00,8.00,,
159,2026-06-04T07:00:00+00:00,wet,257.37,5.56,5.9521,3088.44,1029.48,-2058.96,49.45,229.45,12.00,4.00,,
160,2026-06-04T07:30:00+00:00,wet,257.37,5.07,5.3306,1029.48,3088.44,2058.96,50.52,222.52,4.00,12.00,,
161,2026-06-04T08:00:00+00:00,wet,282.66,5.16,5.3711,2261.28,0.00,-2261.28,47.68,227.68,8.00,0.00,,
162,2026-06-04T08:30:00+00:00,wet,282.66,5.13,5.5556,0.00,1130.64,1130.64,52.81,228.81,0.00,4.00,,
163,2026-06-04T09:00:00+00:00,wet,282.66,5.55,6.0388,2261.28,1130.64,-1130.64,50.36,230.36,8.00,4.00,,
164,2026-06-04T09:30:00+00:00,wet,282.66,5.16,5.3454,1130.64,2261.28,1130.64,51.52,227.52,4.00,8.00,,
165,2026-06-04T10:00:00+00:00,wet,282.66,5.40,5.9162,0.00,1130.64,1130.64,56.92,228.92,0.00,4.00,,
166,2026-06-04T10:30:00+00:00,wet,282.66,3.44,3.5604,1130.64,1130.64,0.00,56.36,228.36,4.00,4.00,,
167,2026-06-04T11:00:00+00:00,wet,282.66,3.39,3.6519,1130.64,1130.64,0.00,55.75,227.75,4.00,4.00,,
168,2026-06-04T11:30:00+00:00,wet,282.66,3.37,3.5773,1130.64,2261.28,1130.64,55.12,223.12,4.00,8.00,,
169,2026-06-04T12:00:00+00:00,wet,283.90,3.55,3.8339,0.00,0.00,0.00,58.67,226.67,0.00,0.00,,
170,2026-06-04T12:30:00+00:00,wet,283.90,3.66,3.9840,3406.80,0.00,-3406.80,50.33,230.33,12.00,0.00,,
171,2026-06-04T13:00:00+00:00,wet,283.90,3.32,3.6221,0.00,0.00,0.00,53.65,233.65,0.00,0.00,,
172,2026-06-04T13:30:00+00:00,wet,283.90,3.62,3.6831,3406.80,1135.60,-2271.20,45.27,233.27,12.00,4.00,,
173,2026-06-04T14:00:00+00:00,wet,283.90,3.29,3.4472,0.00,1135.60,1135.60,48.56,232.56,0.00,4.00,,
174,2026-06-04T14:30:00+00:00,wet,283.90,3.23,3.2734,0.00,1135.60,1135.60,51.79,231.79,0.00,4.00,,
175,2026-06-04T15:00:00+00:00,wet,283.90,3.15,3.2222,1135.60,1135.60,0.00,50.94,230.94,4.00,4.00,,
176,2026-06-04T15:30:00+00:00,wet,283.90,3.56,3.5878,2271.20,2271.20,0.00,46.50,226.50,8.00,8.00,,
177,2026-06-04T16:00:00+00:00,wet,302.47,5.84,5.9214,1209.88,0.00,-1209.88,48.34,232.34,4.00,0.00,,
178,2026-06-04T16:30:00+00:00,wet,302.47,5.80,5.9231,2419.76,2419.76,0.00,46.14,230.14,8.00,8.00,,
179,2026-06-04T17:00:00+00:00,wet,302.47,5.46,5.7136,0.00,2419.76,2419.76,51.60,227.60,0.00,8.00,,
180,2026-06-04T17:30:00+00:00,wet,302.47,6.00,6.1021,3629.64,1209.88,-2419.76,45.60,229.60,12.00,4.00,,
181,2026-06-04T18:00:00+00:00,wet,302.47,6.00,6.3939,1209.88,1209.88,0.00,47.60,231.60,4.00,4.00,,
182,2026-06-04T18:30:00+00:00,wet,302.47,5.79,6.1482,1209.88,2419.76,1209.88,49.39,229.39,4.00,8.00,,
183,2026-06-04T19:00:00+00:00,wet,302.47,5.94,6.3082,2419.76,1209.88,-1209.88,47.33,231.33,8.00,4.00,,
184,2026-06-04T19:30:00+00:00,wet,302.47,5.62,5.7876,0.00,2419.76,2419.76,52.95,228.95,0.00,8.00,,
185,2026-06-04T20:00:00+00:00,wet,277.06,5.78,6.1460,2216.48,1108.24,-1108.24,50.73,230.73,8.00,4.00,,
186,2026-06-04T20:30:00+00:00,wet,277.06,5.56,5.9758,2216.48,2216.48,0.00,48.29,228.29,8.00,8.00,,
187,2026-06-04T21:00:00+00:00,wet,277.06,5.50,5.7509,2216.48,2216.48,0.00,45.79,225.79,8.00,8.00,,
188,2026-06-04T21:30:00+00:00,wet,277.06,2.64,2.8173,0.00,0.00,0.00,48.43,228.43,0.00,0.00,,
189,2026-06-04T22:00:00+00:00,wet,277.06,2.74,2.7920,0.00,1108.24,1108.24,51.17,227.17,0.00,4.00,,
190,2026-06-04T22:30:00+00:00,wet,277.06,2.47,2.6460,2216.48,0.00,-2216.48,45.64,229.64,8.00,0.00,,
191,2026-06-04T23:00:00+00:00,wet,277.06,2.27,2.4716,0.00,1108.24,1108.24,47.91,227.91,0.00,4.00,,
192,2026-06-04T23:30:00+00:00,wet,277.06,2.61,2.8124,0.00,1108.24,1108.24,50.52,226.52,0.00,4.00,,
193,2026-06-05T00:00:00+00:00,severe_wet_afternoon,228.42,2.52,2.7198,913.68,0.00,-913.68,49.04,229.04,4.00,0.00,,
194,2026-06-05T00:30:00+00:00,severe_wet_afternoon,228.42,2.31,2.3314,913.68,913.68,0.00,47.35,227.35,4.00,4.00,,
195,2026-06-05T01:00:00+00:00,severe_wet_afternoon,228.42,2.12,2.2550,0.00,0.00,0.00,49.47,229.47,0.00,0.00,,
196,2026-06-05T01:30:00+00:00,severe_wet_afternoon,228.42,2.41,2.5795,0.00,0.00,0.00,51.88,231.88,0.00,0.00,,
197,2026-06-05T02:00:00+00:00,severe_wet_afternoon,228.42,2.46,2.5509,913.68,0.00,-913.68,50.34,234.34,4.00,0.00,,
198,2026-06-05T02:30:00+00:00,severe_wet_afternoon,228.42,2.21,2.3713,0.00,913.68,913.68,52.55,232.55,0.00,4.00,,
199,2026-06-05T03:00:00+00:00,severe_wet_afternoon,228.42,2.23,2.4516,1827.36,913.68,-913.68,46.78,230.78,8.00,4.00,,
200,2026-06-05T03:30:00+00:00,severe_wet_afternoon,228.42,2.06,2.1927,0.00,913.68,913.68,48.84,228.84,0.00,4.00,,
201,2026-06-05T04:00:00+00:00,severe_wet_afternoon,257.37,2.17,2.2343,1029.48,0.00,-1029.48,47.01,231.01,4.00,0.00,,
202,2026-06-05T04:30:00+00:00,severe_wet_afternoon,257.37,2.45,2.5819,1029.48,0.00,-1029.48,45.46,233.46,4.00,0.00,,
203,2026-06-05T05:00:00+00:00,severe_wet_afternoon,257.37,2.19,2.4061,0.00,1029.48,1029.48,47.65,231.65,0.00,4.00,,
204,2026-06-05T05:30:00+00:00,severe_wet_afternoon,257.37,4.75,4.9168,1029.48,1029.48,0.00,48.40,232.40,4.00,4.00,,
