tick,timestamp,interval_end,day,time_period,tariff_band,tariff,weather_pattern,inflow,p1_out_of_action,p2_out_of_action
49,2026-06-02T00:00:00+00:00,2026-06-02T00:30:00+00:00,2,T1,T1-T8,228.42,dry,0.35,false,false
50,2026-06-02T00:30:00+00:00,2026-06-02T01:00:00+00:00,2,T2,T1-T8,228.42,dry,0.45,true,false
51,2026-06-02T01:00:00+00:00,2026-06-02T01:30:00+00:00,2,T3,T1-T8,228.42,dry,0.20,true,false
52,2026-06-02T01:30:00+00:00,2026-06-02T02:00:00+00:00,2,T4,T1-T8,228.42,dry,0.17,true,false
53,2026-06-02T02:00:00+00:00,2026-06-02T02:30:00+00:00,2,T5,T1-T8,228.42,dry,0.44,true,false
54,2026-06-02T02:30:00+00:00,2026-06-02T03:00:00+00:00,2,T6,T1-T8,228.42,dry,0.28,true,false
55,2026-06-02T03:00:00+00:00,2026-06-02T03:30:00+00:00,2,T7,T1-T8,228.42,dry,0.33,true,false
56,2026-06-02T03:30:00+00:00,2026-06-02T04:00:00+00:00,2,T8,T1-T8,228.42,dry,0.19,true,false
57,2026-06-02T04:00:00+00:00,2026-06-02T04:30:00+00:00,2,T9,T9-T16,257.37,dry,0.27,true,false
58,2026-06-02T04:30:00+00:00,2026-06-02T05:00:00+00:00,2,T10,T9-T16,257.37,dry,0.42,true,false
59,2026-06-02T05:00:00+00:00,2026-06-02T05:30:00+00:00,2,T11,T9-T16,257.37,dry,0.23,false,false
60,2026-06-02T05:30:00+00:00,2026-06-02T06:00:00+00:00,2,T12,T9-T16,257.37,dry,1.59,false,false
61,2026-06-02T06:00:00+00:00,2026-06-02T06:30:00+00:00,2,T13,T9-T16,257.37,dry,1.68,false,false
62,2026-06-02T06:30:00+00:00,2026-06-02T07:00:00+00:00,2,T14,T9-T16,257.37,dry,1.66,false,false
63,2026-06-02T07:00:00+00:00,2026-06-02T07:30:00+00:00,2,T15,T9-T16,257.37,dry,1.84,false,false
64,2026-06-02T07:30:00+00:00,2026-06-02T08:00:00+00:00,2,T16,T9-T16,257.37,dry,1.78,false,false
65,2026-06-02T08:00:00+00:00,2026-06-02T08:30:00+00:00,2,T17,T17-T24,282.66,dry,1.53,false,false
66,2026-06-02T08:30:00+00:00,2026-06-02T09:00:00+00:00,2,T18,T17-T24,282.66,dry,1.83,false,false
67,2026-06-02T09:00:00+00:00,2026-06-02T09:30:00+00:00,2,T19,T17-T24,282.66,dry,1.79,false,false
68,2026-06-02T09:30:00+00:00,2026-06-02T10:00:00+00:00,2,T20,T17-T24,282.66,dry,1.76,false,false
69,2026-06-02T10:00:00+00:00,2026-06-02T10:30:00+00:00,2,T21,T17-T24,282.66,dry,1.59,false,false
70,2026-06-02T10:30:00+00:00,2026-06-02T11:00:00+00:00,2,T22,T17-T24,282.66,dry,0.72,false,false
71,2026-06-02T11:00:00+00:00,2026-06-02T11:30:00+00:00,2,T23,T17-T24,282.66,dry,0.66,false,false
72,2026-06-02T11:30:00+00:00,2026-06-02T12:00:00+00:00,2,T24,T17-T24,282.66,dry,0.72,false,false
73,2026-06-02T12:00:00+00:00,2026-06-02T12:30:00+00:00,2,T25,T25-T32,283.90,dry,0.86,false,false
74,2026-06-02T12:30:00+00:00,2026-06-02T13:00:00+00:00,2,T26,T25-T32,283.90,dry,0.65,false,false
75,2026-06-02T13:00:00+00:00,2026-06-02T13:30:00+00:00,2,T27,T25-T32,283.90,dry,0.80,false,false
76,2026-06-02T13:30:00+00:00,2026-06-02T14:00:00+00:00,2,T28,T25-T32,283.90,dry,0.73,false,false
77,2026-06-02T14:00:00+00:00,2026-06-02T14:30:00+00:00,2,T29,T25-T32,283.90,dry,0.79,false,false
78,2026-06-02T14:30:00+00:00,2026-06-02T15:00:00+00:00,2,T30,T25-T32,283.90,dry,0.93,false,false
79,2026-06-02T15:00:00+00:00,2026-06-02T15:30:00+00:00,2,T31,T25-T32,283.90,dry,0.65,false,false
80,2026-06-02T15:30:00+00:00,2026-06-02T16:00:00+00:00,2,T32,T25-T32,283.90,dry,0.97,false,false
81,2026-06-02T16:00:00+00:00,2026-06-02T16:30:00+00:00,2,T33,T33-T40,302.47,dry,1.94,false,false
82,2026-06-02T16:30:00+00:00,2026-06-02T17:00:00+00:00,2,T34,T33-T40,302.47,dry,1.88,false,false
83,2026-06-02T17:00:00+00:00,2026-06-02T17:30:00+00:00,2,T35,T33-T40,302.47,dry,2.03,false,false
84,2026-06-02T17:30:00+00:00,2026-06-02T18:00:00+00:00,2,T36,T33-T40,302.47,dry,1.74,true,false
85,2026-06-02T18:00:00+00:00,2026-06-02T18:30:00+00:00,2,T37,T33-T40,302.47,dry,1.90,true,false
86,2026-06-02T18:30:00+00:00,2026-06-02T19:00:00+00:00,2,T38,T33-T40,302.47,dry,1.69,true,false
87,2026-06-02T19:00:00+00:00,2026-06-02T19:30:00+00:00,2,T39,T33-T40,302.47,dry,2.03,true,false
88,2026-06-02T19:30:00+00:00,2026-06-02T20:00:00+00:00,2,T40,T33-T40,302.47,dry,2.04,true,false
89,2026-06-02T20:00:00+00:00,2026-06-02T20:30:00+00:00,2,T41,T41-T48,277.06,dry,1.96,true,false
90,2026-06-02T20:30:00+00:00,2026-06-02T21:00:00+00:00,2,T42,T41-T48,277.06,dry,1.77,true,false
91,2026-06-02T21:00:00+00:00,2026-06-02T21:30:00+00:00,2,T43,T41-T48,277.06,dry,1.95,true,false
92,2026-06-02T21:30:00+00:00,2026-06-02T22:00:00+00:00,2,T44,T41-T48,277.06,dry,0.51,true,false
93,2026-06-02T22:00:00+00:00,2026-06-02T22:30:00+00:00,2,T45,T41-T48,277.06,dry,0.48,false,false
94,2026-06-02T22:30:00+00:00,2026-06-02T23:00:00+00:00,2,T46,T41-T48,277.06,dry,0.42,false,false
95,2026-06-02T23:00:00+00:00,2026-06-02T23:30:00+00:00,2,T47,T41-T48,277.06,dry,0.41,false,false
96,2026-06-02T23:30:00+00:00,2026-06-03T00:00:00+00:00,2,T48,T41-T48,277.06,dry,0.52,false,false
97,2026-06-03T00:00:00+00:00,2026-06-03T00:30:00+00:00,3,T1,T1-T8,228.42,wet,2.47,false,false
98,2026-06-03T00:30:00+00:00,2026-06-03T01:00:00+00:00,3,T2,T1-T8,228.42,wet,2.16,false,false
99,2026-06-03T01:00:00+00:00,2026-06-03T01:30:00+00:00,3,T3,T1-T8,228.42,wet,2.59,false,false
100,2026-06-03T01:30:00+00:00,2026-06-03T02:00:00+00:00,3,T4,T1-T8,228.42,wet,2.37,false,false
101,2026-06-03T02:00:00+00:00,2026-06-03T02:30:00+00:00,3,T5,T1-T8,228.42,wet,2.10,false,false
102,2026-06-03T02:30:00+00:00,2026-06-03T03:00:00+00:00,3,T6,T1-T8,228.42,wet,2.44,false,true
103,2026-06-03T03:00:00+00:00,2026-06-03T03:30:00+00:00,3,T7,T1-T8,228.42,wet,2.13,false,true
104,2026-06-03T03:30:00+00:00,2026-06-03T04:00:00+00:00,3,T8,T1-T8,228.42,wet,2.38,false,true
105,2026-06-03T04:00:00+00:00,2026-06-03T04:30:00+00:00,3,T9,T9-T16,257.37,wet,2.08,false,true
106,2026-06-03T04:30:00+00:00,2026-06-03T05:00:00+00:00,3,T10,T9-T16,257.37,wet,2.51,false,true
107,2026-06-03T05:00:00+00:00,2026-06-03T05:30:00+00:00,3,T11,T9-T16,257.37,wet,2.00,false,true
108,2026-06-03T05:30:00+00:00,2026-06-03T06:00:00+00:00,3,T12,T9-T16,257.37,wet,5.41,false,true
109,2026-06-03T06:00:00+00:00,2026-06-03T06:30:00+00:00,3,T13,T9-T16,257.37,wet,5.06,false,true
110,2026-06-03T06:30:00+00:00,2026-06-03T07:00:00+00:00,3,T14,T9-T16,257.37,wet,5.42,false,true
111,2026-06-03T07:00:00+00:00,2026-06-03T07:30:00+00:00,3,T15,T9-T16,257.37,wet,5.56,false,true
112,2026-06-03T07:30:00+00:00,2026-06-03T08:00:00+00:00,3,T16,T9-T16,257.37,wet,5.05,false,false
113,2026-06-03T08:00:00+00:00,2026-06-03T08:30:00+00:00,3,T17,T17-T24,282.66,wet,5.49,false,false
114,2026-06-03T08:30:00+00:00,2026-06-03T09:00:00+00:00,3,T18,T17-T24,282.66,wet,5.56,false,false
115,2026-06-03T09:00:00+00:00,2026-06-03T09:30:00+00:00,3,T19,T17-T24,282.66,wet,5.46,false,false
116,2026-06-03T09:30:00+00:00,2026-06-03T10:00:00+00:00,3,T20,T17-T24,282.66,wet,5.54,false,false
117,2026-06-03T10:00:00+00:00,2026-06-03T10:30:00+00:00,3,T21,T17-T24,282.66,wet,5.40,false,false
118,2026-06-03T10:30:00+00:00,2026-06-03T11:00:00+00:00,3,T22,T17-T24,282.66,wet,3.15,false,true
119,2026-06-03T11:00:00+00:00,2026-06-03T11:30:00+00:00,3,T23,T17-T24,282.66,wet,3.42,false,true
120,2026-06-03T11:30:00+00:00,2026-06-03T12:00:00+00:00,3,T24,T17-T24,282.66,wet,3.14,false,true
121,2026-06-03T12:00:00+00:00,2026-06-03T12:30:00+00:00,3,T25,T25-T32,283.90,wet,3.32,false,true
122,2026-06-03T12:30:00+00:00,2026-06-03T13:00:00+00:00,3,T26,T25-T32,283.90,wet,3.39,false,true
123,2026-06-03T13:00:00+00:00,2026-06-03T13:30:00+00:00,3,T27,T25-T32,283.90,wet,3.65,false,true
124,2026-06-03T13:30:00+00:00,2026-06-03T14:00:00+00:00,3,T28,T25-T32,283.90,wet,3.45,false,true
125,2026-06-03T14:00:00+00:00,2026-06-03T14:30:00+00:00,3,T29,T25-T32,283.90,wet,3.46,false,true
126,2026-06-03T14:30:00+00:00,2026-06-03T15:00:00+00:00,3,T30,T25-T32,283.90,wet,3.50,false,true
127,2026-06-03T15:00:00+00:00,2026-06-03T15:30:00+00:00,3,T31,T25-T32,283.90,wet,3.51,false,false
128,2026-06-03T15:30:00+00:00,2026-06-03T16:00:00+00:00,3,T32,T25-T32,283.90,wet,3.43,false,false
129,2026-06-03T16:00:00+00:00,2026-06-03T16:30:00+00:00,3,T33,T33-T40,302.47,wet,5.93,false,false
130,2026-06-03T16:30:00+00:00,2026-06-03T17:00:00+00:00,3,T34,T33-T40,302.47,wet,5.62,false,false
131,2026-06-03T17:00:00+00:00,2026-06-03T17:30:00+00:00,3,T35,T33-T40,302.47,wet,5.64,false,false
132,2026-06-03T17:30:00+00:00,2026-06-03T18:00:00+00:00,3,T36,T33-T40,302.47,wet,5.96,false,false
133,2026-06-03T18:00:00+00:00,2026-06-03T18:30:00+00:00,3,T37,T33-T40,302.47,wet,6.01,false,false
134,2026-06-03T18:30:00+00:00,2026-06-03T19:00:00+00:00,3,T38,T33-T40,302.47,wet,5.75,false,false
135,2026-06-03T19:00:00+00:00,2026-06-03T19:30:00+00:00,3,T39,T33-T40,302.47,wet,5.78,false,false
136,2026-06-03T19:30:00+00:00,2026-06-03T20:00:00+00:00,3,T40,T33-T40,302.47,wet,5.93,false,false
137,2026-06-03T20:00:00+00:00,2026-06-03T20:30:00+00:00,3,T41,T41-T48,277.06,wet,5.78,false,false
138,2026-06-03T20:30:00+00:00,2026-06-03T21:00:00+00:00,3,T42,T41-T48,277.06,wet,5.88,true,false
139,2026-06-03T21:00:00+00:00,2026-06-03T21:30:00+00:00,3,T43,T41-T48,277.06,wet,5.70,true,false
140,2026-06-03T21:30:00+00:00,2026-06-03T22:00:00+00:00,3,T44,T41-T48,277.06,wet,2.72,true,false
141,2026-06-03T22:00:00+00:00,2026-06-03T22:30:00+00:00,3,T45,T41-T48,277.06,wet,2.77,true,false
142,2026-06-03T22:30:00+00:00,2026-06-03T23:00:00+00:00,3,T46,T41-T48,277.06,wet,2.33,true,false
143,2026-06-03T23:00:00+00:00,2026-06-03T23:30:00+00:00,3,T47,T41-T48,277.06,wet,2.40,true,false
144,2026-06-03T23:30:00+00:00,2026-06-04T00:00:00+00:00,3,T48,T41-T48,277.06,wet,2.21,true,false
145,2026-06-04T00:00:00+00:00,2026-06-04T00:30:00+00:00,4,T1,T1-T8,228.42,wet,2.23,true,false
146,2026-06-04T00:30:00+00:00,2026-06-04T01:00:00+00:00,4,T2,T1-T8,228.42,wet,2.51,true,false
147,2026-06-04T01:00:00+00:00,2026-06-04T01:30:00+00:00,4,T3,T1-T8,228.42,wet,2.34,true,false
148,2026-06-04T01:30:00+00:00,2026-06-04T02:00:00+00:00,4,T4,T1-T8,228.42,wet,2.38,true,false
149,2026-06-04T02:00:00+00:00,2026-06-04T02:30:00+00:00,4,T5,T1-T8,228.42,wet,2.25,false,false
150,2026-06-04T02:30:00+00:00,2026-06-04T03:00:00+00:00,4,T6,T1-T8,228.42,wet,2.11,false,false
151,2026-06-04T03:00:00+00:00,2026-06-04T03:30:00+00:00,4,T7,T1-T8,228.42,wet,2.16,false,false
152,2026-06-04T03:30:00+00:00,2026-06-04T04:00:00+00:00,4,T8,T1-T8,228.42,wet,2.37,false,false
153,2026-06-04T04:00:00+00:00,2026-06-04T04:30:00+00:00,4,T9,T9-T16,257.37,wet,2.19,false,false
154,2026-06-04T04:30:00+00:00,2026-06-04T05:00:00+00:00,4,T10,T9-T16,257.37,wet,2.19,false,false
155,2026-06-04T05:00:00+00:00,2026-06-04T05:30:00+00:00,4,T11,T9-T16,257.37,wet,2.16,false,false
156,2026-06-04T05:30:00+00:00,2026-06-04T06:00:00+00:00,4,T12,T9-T16,257.37,wet,5.07,false,false
157,2026-06-04T06:00:00+00:00,2026-06-04T06:30:00+00:00,4,T13,T9-T16,257.37,wet,5.15,false,false
158,2026-06-04T06:30:00+00:00,2026-06-04T07:00:00+00:00,4,T14,T9-T16,257.37,wet,5.09,true,false
159,2026-06-04T07:00:00+00:00,2026-06-04T07:30:00+00:00,4,T15,T9-T16,257.37,wet,5.56,true,false
160,2026-06-04T07:30:00+00:00,2026-06-04T08:00:00+00:00,4,T16,T9-T16,257.37,wet,5.07,true,false
161,2026-06-04T08:00:00+00:00,2026-06-04T08:30:00+00:00,4,T17,T17-T24,282.66,wet,5.16,true,false
162,2026-06-04T08:30:00+00:00,2026-06-04T09:00:00+00:00,4,T18,T17-T24,282.66,wet,5.13,true,false
163,2026-06-04T09:00:00+00:00,2026-06-04T09:30:00+00:00,4,T19,T17-T24,282.66,wet,5.55,true,false
164,2026-06-04T09:30:00+00:00,2026-06-04T10:00:00+00:00,4,T20,T17-T24,282.66,wet,5.16,true,false
165,2026-06-04T10:00:00+00:00,2026-06-04T10:30:00+00:00,4,T21,T17-T24,282.66,wet,5.40,true,false
166,2026-06-04T10:30:00+00:00,2026-06-04T11:00:00+00:00,4,T22,T17-T24,282.66,wet,3.44,true,false
167,2026-06-04T11:00:00+00:00,2026-06-04T11:30:00+00:00,4,T23,T17-T24,282.66,wet,3.39,true,false
168,2026-06-04T11:30:00+00:00,2026-06-04T12:00:00+00:00,4,T24,T17-T24,282.66,wet,3.37,true,false
169,2026-06-04T12:00:00+00:00,2026-06-04T12:30:00+00:00,4,T25,T25-T32,283.90,wet,3.55,true,false
170,2026-06-04T12:30:00+00:00,2026-06-04T13:00:00+00:00,4,T26,T25-T32,283.90,wet,3.66,true,false
171,2026-06-04T13:00:00+00:00,2026-06-04T13:30:00+00:00,4,T27,T25-T32,283.90,wet,3.32,true,false
172,2026-06-04T13:30:00+00:00,2026-06-04T14:00:00+00:00,4,T28,T25-T32,283.90,wet,3.62,false,false
173,2026-06-04T14:00:00+00:00,2026-06-04T14:30:00+00:00,4,T29,T25-T32,283.90,wet,3.29,false,false
174,2026-06-04T14:30:00+00:00,2026-06-04T15:00:00+00:00,4,T30,T25-T32,283.90,wet,3.23,false,false
175,2026-06-04T15:00:00+00:00,2026-06-04T15:30:00+00:00,4,T31,T25-T32,283.90,wet,3.15,false,false
176,2026-06-04T15:30:00+00:00,2026-06-04T16:00:00+00:00,4,T32,T25-T32,283.90,wet,3.56,false,false
177,2026-06-04T16:00:00+00:00,2026-06-04T16:30:00+00:00,4,T33,T33-T40,302.47,wet,5.84,false,false
178,2026-06-04T16:30:00+00:00,2026-06-04T17:00:00+00:00,4,T34,T33-T40,302.47,wet,5.80,false,false
179,2026-06-04T17:00:00+00:00,2026-06-04T17:30:00+00:00,4,T35,T33-T40,302.47,wet,5.46,false,false
180,2026-06-04T17:30:00+00:00,2026-06-04T18:00:00+00:00,4,T36,T33-T40,302.47,wet,6.00,false,false
181,2026-06-04T18:00:00+00:00,2026-06-04T18:30:00+00:00,4,T37,T33-T40,302.47,wet,6.00,false,false
182,2026-06-04T18:30:00+00:00,2026-06-04T19:00:00+00:00,4,T38,T33-T40,302.47,wet,5.79,false,false
183,2026-06-04T19:00:00+00:00,2026-06-04T19:30:00+00:00,4,T39,T33-T40,302.47,wet,5.94,false,false
184,2026-06-04T19:30:00+00:00,2026-06-04T20:00:00+00:00,4,T40,T33-T40,302.47,wet,5.62,false,false
185,2026-06-04T20:00:00+00:00,2026-06-04T20:30:00+00:00,4,T41,T41-T48,277.06,wet,5.78,false,false
186,2026-06-04T20:30:00+00:00,2026-06-04T21:00:00+00:00,4,T42,T41-T48,277.06,wet,5.56,false,false
187,2026-06-04T21:00:00+00:00,2026-06-04T21:30:00+00:00,4,T43,T41-T48,277.06,wet,5.50,false,false
188,2026-06-04T21:30:00+00:00,2026-06-04T22:00:00+00:00,4,T44,T41-T48,277.06,wet,2.64,false,false
189,2026-06-04T22:00:00+00:00,2026-06-04T22:30:00+00:00,4,T45,T41-T48,277.06,wet,2.74,false,false
190,2026-06-04T22:30:00+00:00,2026-06-04T23:00:00+00:00,4,T46,T41-T48,277.06,wet,2.47,false,false
191,2026-06-04T23:00:00+00:00,2026-06-04T23:30:00+00:00,4,T47,T41-T48,277.06,wet,2.27,false,false
192,2026-06-04T23:30:00+00:00,2026-06-05T00:00:00+00:00,4,T48,T41-T48,277.06,wet,2.61,false,false
193,2026-06-05T00:00:00+00:00,2026-06-05T00:30:00+00:00,5,T1,T1-T8,228.42,severe_wet_afternoon,2.52,false,false
194,2026-06-05T00:30:00+00:00,2026-06-05T01:00:00+00:00,5,T2,T1-T8,228.42,severe_wet_afternoon,2.31,false,true
195,2026-06-05T01:00:00+00:00,2026-06-05T01:30:00+00:00,5,T3,T1-T8,228.42,severe_wet_afternoon,2.12,false,true
196,2026-06-05T01:30:00+00:00,2026-06-05T02:00:00+00:00,5,T4,T1-T8,228.42,severe_wet_afternoon,2.41,false,true
197,2026-06-05T02:00:00+00:00,2026-06-05T02:30:00+00:00,5,T5,T1-T8,228.42,severe_wet_afternoon,2.46,false,true
198,2026-06-05T02:30:00+00:00,2026-06-05T03:00:00+00:00,5,T6,T1-T8,228.42,severe_wet_afternoon,2.21,false,false
199,2026-06-05T03:00:00+00:00,2026-06-05T03:30:00+00:00,5,T7,T1-T8,228.42,severe_wet_afternoon,2.23,false,false
200,2026-06-05T03:30:00+00:00,2026-06-05T04:00:00+00:00,5,T8,T1-T8,228.42,severe_wet_afternoon,2.06,false,false
201,2026-06-05T04:00:00+00:00,2026-06-05T04:30:00+00:00,5,T9,T9-T16,257.37,severe_wet_afternoon,2.17,false,false
202,2026-06-05T04:30:00+00:00,2026-06-05T05:00:00+00:00,5,T10,T9-T16,257.37,severe_wet_afternoon,2.45,false,false
203,2026-06-05T05:00:00+00:00,2026-06-05T05:30:00+00:00,5,T11,T9-T16,257.37,severe_wet_afternoon,2.19,false,false
204,2026-06-05T05:30:00+00:00,2026-06-05T06:00:00+00:00,5,T12,T9-T16,257.37,severe_wet_afternoon,4.75,false,false
205,2026-06-05T06:00:00+00:00,2026-06-05T06:30:00+00:00,5,T13,T9-T16,257.37,severe_wet_afternoon,4.92,false,false
206,2026-06-05T06:30:00+00:00,2026-06-05T07:00:00+00:00,5,T14,T9-T16,257.37,severe_wet_afternoon,4.69,false,false
207,2026-06-05T07:00:00+00:00,2026-06-05T07:30:00+00:00,5,T15,T9-T16,257.37,severe_wet_afternoon,4.78,false,false
208,2026-06-05T07:30:00+00:00,2026-06-05T08:00:00+00:00,5,T16,T9-T16,257.37,severe_wet_afternoon,4.80,false,false
209,2026-06-05T08:00:00+00:00,2026-06-05T08:30:00+00:00,5,T17,T17-T24,282.66,severe_wet_afternoon,4.69,false,false
210,2026-06-05T08:30:00+00:00,2026-06-05T09:00:00+00:00,5,T18,T17-T24,282.66,severe_wet_afternoon,4.53,false,false
211,2026-06-05T09:00:00+00:00,2026-06-05T09:30:00+00:00,5,T19,T17-T24,282.66,severe_wet_afternoon,4.99,false,false
212,2026-06-05T09:30:00+00:00,2026-06-05T10:00:00+00:00,5,T20,T17-T24,282.66,severe_wet_afternoon,4.90,false,false
213,2026-06-05T10:00:00+00:00,2026-06-05T10:30:00+00:00,5,T21,T17-T24,282.66,severe_wet_afternoon,4.48,false,false
214,2026-06-05T10:30:00+00:00,2026-06-05T11:00:00+00:00,5,T22,T17-T24,282.66,severe_wet_afternoon,3.12,false,false
215,2026-06-05T11:00:00+00:00,2026-06-05T11:30:00+00:00,5,T23,T17-T24,282.66,severe_wet_afternoon,3.04,false,false
216,2026-06-05T11:30:00+00:00,2026-06-05T12:00:00+00:00,5,T24,T17-T24,282.66,severe_wet_afternoon,9.11,false,false
217,2026-06-05T12:00:00+00:00,2026-06-05T12:30:00+00:00,5,T25,T25-T32,283.90,severe_wet_afternoon,9.20,false,false
218,2026-06-05T12:30:00+00:00,2026-06-05T13:00:00+00:00,5,T26,T25-T32,283.90,severe_wet_afternoon,8.52,false,false
219,2026-06-05T13:00:00+00:00,2026-06-05T13:30:00+00:00,5,T27,T25-T32,283.90,severe_wet_afternoon,8.88,false,false
220,2026-06-05T13:30:00+00:00,2026-06-05T14:00:00+00:00,5,T28,T25-T32,283.90,severe_wet_afternoon,8.57,false,false
